,temperature,p,alpha_plus,alpha_minus,seed,total_reward
355,0.01,0.1,0.0025,0.005,6,8000
356,0.01,0.1,0.0025,0.005,7,8026
357,0.01,0.1,0.0025,0.005,8,8036
358,0.01,0.1,0.0025,0.005,9,7988
359,0.01,0.1,0.0025,0.005,10,7988
360,0.01,0.1,0.0025,0.005,11,8014
361,0.01,0.1,0.0025,0.005,12,8036
362,0.01,0.1,0.0025,0.005,13,8030
363,0.01,0.1,0.0025,0.005,14,8100
364,0.01,0.1,0.0025,0.005,15,7976
365,0.01,0.1,0.0025,0.005,16,8022
366,0.01,0.1,0.0025,0.005,17,8042
367,0.01,0.1,0.0025,0.005,18,7954
368,0.01,0.1,0.0025,0.005,19,8044
369,0.01,0.1,0.0025,0.005,20,7924
370,0.01,0.1,0.0025,0.005,21,8024
371,0.01,0.1,0.0025,0.005,22,7912
372,0.01,0.1,0.0025,0.005,23,7938
373,0.01,0.1,0.0025,0.005,24,7970
374,0.01,0.1,0.0025,0.005,25,7928
375,0.01,0.1,0.0025,0.005,26,7942
376,0.01,0.1,0.0025,0.005,27,8030
377,0.01,0.1,0.0025,0.005,28,7922
378,0.01,0.1,0.0025,0.005,29,7988
379,0.01,0.1,0.0025,0.005,30,8082
380,0.01,0.1,0.0025,0.005,31,8030
381,0.01,0.1,0.0025,0.005,32,7970
382,0.01,0.1,0.0025,0.005,33,7904
383,0.01,0.1,0.0025,0.005,34,8032
384,0.01,0.1,0.0025,0.005,35,7910
385,0.01,0.1,0.0025,0.005,36,8068
386,0.01,0.1,0.0025,0.005,37,8022
387,0.01,0.1,0.0025,0.005,38,7990
388,0.01,0.1,0.0025,0.005,39,8000
389,0.01,0.1,0.0025,0.005,40,8056
390,0.01,0.1,0.0025,0.005,41,7970
391,0.01,0.1,0.0025,0.005,42,8070
392,0.01,0.1,0.0025,0.005,43,7978
393,0.01,0.1,0.0025,0.005,44,7826
394,0.01,0.1,0.0025,0.005,45,7960
395,0.01,0.1,0.0025,0.005,46,8126
396,0.01,0.1,0.0025,0.005,47,8054
397,0.01,0.1,0.0025,0.005,48,7968
398,0.01,0.1,0.0025,0.005,49,7994
399,0.01,0.1,0.0025,0.005,50,7938
400,0.01,0.1,0.0025,0.0075,1,7970
401,0.01,0.1,0.0025,0.0075,2,7950
402,0.01,0.1,0.0025,0.0075,3,8034
403,0.01,0.1,0.0025,0.0075,4,7924
404,0.01,0.1,0.0025,0.0075,5,8074
405,0.01,0.1,0.0025,0.0075,6,8004
406,0.01,0.1,0.0025,0.0075,7,8026
407,0.01,0.1,0.0025,0.0075,8,8036
408,0.01,0.1,0.0025,0.0075,9,7988
409,0.01,0.1,0.0025,0.0075,10,7988
410,0.01,0.1,0.0025,0.0075,11,8014
411,0.01,0.1,0.0025,0.0075,12,8036
412,0.01,0.1,0.0025,0.0075,13,8030
413,0.01,0.1,0.0025,0.0075,14,8100
414,0.01,0.1,0.0025,0.0075,15,7976
415,0.01,0.1,0.0025,0.0075,16,8022
416,0.01,0.1,0.0025,0.0075,17,8038
417,0.01,0.1,0.0025,0.0075,18,7954
418,0.01,0.1,0.0025,0.0075,19,8044
419,0.01,0.1,0.0025,0.0075,20,7924
420,0.01,0.1,0.0025,0.0075,21,8024
421,0.01,0.1,0.0025,0.0075,22,7912
422,0.01,0.1,0.0025,0.0075,23,7946
423,0.01,0.1,0.0025,0.0075,24,7970
424,0.01,0.1,0.0025,0.0075,25,7928
425,0.01,0.1,0.0025,0.0075,26,7946
426,0.01,0.1,0.0025,0.0075,27,8030
427,0.01,0.1,0.0025,0.0075,28,7930
428,0.01,0.1,0.0025,0.0075,29,7992
429,0.01,0.1,0.0025,0.0075,30,8078
430,0.01,0.1,0.0025,0.0075,31,8030
431,0.01,0.1,0.0025,0.0075,32,7970
432,0.01,0.1,0.0025,0.0075,33,7916
433,0.01,0.1,0.0025,0.0075,34,8036
434,0.01,0.1,0.0025,0.0075,35,7910
435,0.01,0.1,0.0025,0.0075,36,8068
436,0.01,0.1,0.0025,0.0075,37,8022
437,0.01,0.1,0.0025,0.0075,38,7990
438,0.01,0.1,0.0025,0.0075,39,8000
439,0.01,0.1,0.0025,0.0075,40,8060
